iter	Logloss
0	0.6599815137
1	0.628694291
2	0.6000877568
3	0.5745953728
4	0.5500689945
5	0.5284883997
6	0.5080541167
7	0.4891357139
8	0.471555633
9	0.4563023462
10	0.4420204035
11	0.4289565841
12	0.4160705504
13	0.4042673148
14	0.3943975919
15	0.3842377411
16	0.3747303338
17	0.3668882854
18	0.3591322397
19	0.3523170963
20	0.3456453209
21	0.3391583111
22	0.333673352
23	0.3283287164
24	0.3236628527
25	0.318956659
26	0.3147806065
27	0.3106501797
28	0.307001605
29	0.3035710902
30	0.3004539734
31	0.2975081165
32	0.2946143357
33	0.2922592532
34	0.2898203598
35	0.2876953997
36	0.2854774509
37	0.2835240108
38	0.281681818
39	0.279845849
40	0.2781952681
41	0.2764308844
42	0.2748614168
43	0.2735369628
44	0.2723504429
45	0.2711761191
46	0.2701593617
47	0.2691492165
48	0.2682198482
49	0.2672019571
50	0.2664615883
51	0.2655733416
52	0.2648308347
53	0.2639486498
54	0.2632122098
55	0.2625428249
56	0.2617939396
57	0.2611237791
58	0.2604769195
59	0.2599463792
60	0.2593559762
61	0.2588957185
62	0.2583713894
63	0.2579510714
64	0.2575827781
65	0.257118742
66	0.2566549836
67	0.2562866592
68	0.2559894637
69	0.255655942
70	0.255290973
71	0.2549976697
72	0.2547125209
73	0.2544440645
74	0.2542073149
75	0.2538841662
76	0.2535898975
77	0.2533308408
78	0.2530992769
79	0.2528422011
80	0.2526401209
81	0.2524326992
82	0.2522384913
83	0.2520842648
84	0.2519399643
85	0.2517604322
86	0.2515717498
87	0.2514301212
88	0.2512917068
89	0.2511549858
90	0.2510227609
91	0.2509272893
92	0.2507776171
93	0.2506315207
94	0.250520701
95	0.2504246739
96	0.2503090379
97	0.2501847638
98	0.250078642
99	0.2499693542
100	0.2498717732
101	0.249759739
102	0.2496769378
103	0.2495864901
104	0.2494836155
105	0.2494073002
106	0.2493071983
107	0.2492216022
108	0.2491406415
109	0.2490720427
110	0.2489905472
111	0.248921015
112	0.2488345611
113	0.2487524386
114	0.248703664
115	0.2486360467
116	0.2485670812
117	0.248495701
118	0.2484360388
119	0.2483578171
120	0.2482737602
121	0.2482218298
122	0.2481550478
123	0.248107363
124	0.2480325874
125	0.2479700684
126	0.2478930045
127	0.2478473993
128	0.2477791923
129	0.2477303392
130	0.2476546401
131	0.2476010539
132	0.2475465211
133	0.2474868657
134	0.2474358478
135	0.2473981994
136	0.2473436185
137	0.2473003884
138	0.2472523021
139	0.2471942329
140	0.2471507229
141	0.2471044668
142	0.2470508496
143	0.2470093665
144	0.24695816
145	0.2469031684
146	0.2468751205
147	0.2468293341
148	0.2467699943
149	0.2467289758
150	0.2466845716
151	0.2466587943
152	0.2466284927
153	0.2465990404
154	0.2465630222
155	0.2465372145
156	0.2464984986
157	0.2464552535
158	0.2464150852
159	0.2463688327
160	0.2463306374
161	0.2462809338
162	0.2462567266
163	0.2462163718
164	0.2461656304
165	0.2461337626
166	0.2461036548
167	0.2460627315
168	0.2460222406
169	0.2459965292
170	0.2459633433
171	0.2459293837
172	0.2458940163
173	0.2458651344
174	0.2458329899
175	0.245792384
176	0.2457611895
177	0.2457442041
178	0.2457093673
179	0.2456742989
180	0.2456499832
181	0.2456159842
182	0.2455626281
183	0.245537141
184	0.2455058718
185	0.2454785264
186	0.2454528007
187	0.2454118263
188	0.245382057
189	0.2453472244
190	0.2453135953
191	0.2452854834
192	0.2452493929
193	0.2452243958
194	0.2452050754
195	0.2451790527
196	0.2451565948
197	0.2451315619
198	0.2451056207
199	0.2450856315
200	0.2450578178
201	0.2450348038
202	0.2450068643
203	0.2449708318
204	0.2449399729
205	0.2449126316
206	0.2448854694
207	0.2448673205
208	0.2448417866
209	0.2448050483
210	0.2447834773
